scenario,image,dataset,tp,fp,fn,confidence,best_iou,latency_ms,outcome
Distancia corta,YGD 7886.png,dataset_alpr,1,0,0,0.7557925581932068,0.9145481391563004,32.24520001094788,TP
Distancia corta,DXO-0990.png,dataset_publico_placas,1,0,0,0.7403864860534668,0.9746836695999928,32.12440002243966,TP
Distancia corta,CZC-2553.png,dataset_publico_placas_smallfar,1,0,0,0.6380925178527832,0.9563513716294869,31.98899992275983,TP
Distancia corta,ERA-7130.png,dataset_alpr,1,0,0,0.7111812233924866,0.9183022762245252,32.010799972340465,TP
Distancia corta,KZW-9893.png,dataset_alpr,1,0,0,0.7184086441993713,0.9331203655540158,32.20289992168546,TP
Distancia corta,PGT-5742.png,dataset_alpr,1,0,0,0.6480782628059387,0.9112144161747227,32.06230001524091,TP
Distancia corta,LIT-3271.png,dataset_alpr,1,0,0,0.6290463209152222,0.9196126616385639,32.075900002382696,TP
Distancia corta,JFV-8625.png,dataset_alpr,1,0,0,0.7044894695281982,0.9007383884553759,32.01029996853322,TP
Distancia corta,KAG-4621.png,dataset_alpr,1,0,0,0.6345585584640503,0.9132597239363621,32.235899940133095,TP
Distancia corta,WTT-9263.png,dataset_alpr,1,0,0,0.7172635197639465,0.9095773325674991,32.317499979399145,TP
Distancia corta,LZQ-9741.png,dataset_alpr,1,0,0,0.6874250173568726,0.9350881308231442,31.88260004390031,TP
Distancia corta,PTD-9389.png,dataset_alpr,1,0,0,0.7208689451217651,0.9234073602350121,32.166399993002415,TP
Distancia corta,DNZ-5310.png,dataset_alpr,1,0,0,0.5762516856193542,0.9244548156638485,32.732499996200204,TP
Distancia corta,EPL-7457.png,dataset_alpr,1,0,0,0.606805682182312,0.9104871379955808,32.013699994422495,TP
Distancia corta,LQQ-6394.png,dataset_alpr,1,0,0,0.788180947303772,0.8960533391049562,32.5031999964267,TP
Distancia corta,PCK-4598.png,dataset_alpr,1,0,0,0.6583952307701111,0.9212179176398845,32.39990002475679,TP
Distancia corta,EHZ-1428.png,dataset_alpr,1,0,0,0.5499982237815857,0.9291785944264275,32.151399995200336,TP
Distancia corta,GWE-2807.png,dataset_alpr,1,0,0,0.7011448740959167,0.9263567599902681,32.09470002911985,TP
Distancia corta,HKQ-7836.png,dataset_alpr,1,0,0,0.7578476667404175,0.9116006232233824,32.142800046131015,TP
Distancia corta,FEC-9875.png,dataset_alpr,1,0,0,0.6593267917633057,0.9233014507619699,32.16320008505136,TP
Distancia corta,PUZ-6254.png,dataset_alpr,1,0,0,0.5883290767669678,0.9265983658367536,32.07689989358187,TP
Distancia corta,PDV-4040.png,dataset_alpr,1,0,0,0.6813477873802185,0.9203759455959527,32.450800063088536,TP
Distancia corta,HSN-0005.png,dataset_alpr,1,0,0,0.7924832701683044,0.9134527173525245,31.926600029692054,TP
Distancia corta,PDP-1460.png,dataset_alpr,1,0,0,0.6884335279464722,0.9281330020662195,32.05139993224293,TP
Distancia corta,LRN-1577.png,dataset_alpr,1,0,0,0.6488699913024902,0.9356738122875107,32.0596001110971,TP
Distancia corta,JFT-3690.png,dataset_publico_placas,1,0,0,0.619689404964447,0.9767245990651837,31.97739995084703,TP
Distancia corta,UUH-2840.png,dataset_alpr,1,0,0,0.7344995737075806,0.9195539982498563,32.30589989107102,TP
Distancia corta,XKP-5871.png,dataset_alpr,1,0,0,0.652898371219635,0.9220562301446353,32.22220006864518,TP
Distancia corta,NTB 9730.png,dataset_publico_placas,1,0,0,0.6922301650047302,0.9868196429392981,32.07499999552965,TP
Distancia corta,PLN-1850.png,dataset_alpr,1,0,0,0.7779377698898315,0.9079038653039142,32.225499977357686,TP
Distancia corta,RUN-5838.png,dataset_alpr,1,0,0,0.6998096704483032,0.9336663711917774,32.41580002941191,TP
Distancia corta,QUF-0227.png,dataset_alpr,1,0,0,0.7079340219497681,0.9192677939162474,32.173699932172894,TP
Distancia corta,VKU-5525.png,dataset_alpr,1,0,0,0.6865290999412537,0.9181062410496736,33.03479996975511,TP
Distancia corta,QZI-0095.png,dataset_alpr,1,0,0,0.7082452774047852,0.9276191029714778,32.6393999857828,TP
Distancia corta,PCV-5477.png,dataset_alpr,1,0,0,0.669183611869812,0.9202785141233233,32.19790000002831,TP
Distancia corta,KWE-5033.png,dataset_alpr,1,0,0,0.6153336763381958,0.924145901865088,32.59259997867048,TP
Distancia corta,JQN-4485.png,dataset_alpr,1,0,0,0.6981242299079895,0.9065117313886464,32.076000003144145,TP
Distancia corta,QNH-5715.png,dataset_alpr,1,0,0,0.6271538734436035,0.9236782966288583,33.62250002101064,TP
Distancia corta,WPQ-1011.png,dataset_alpr,1,0,0,0.7070019841194153,0.9253886993269897,32.910200068727136,TP
Distancia corta,NDZ-0513.png,dataset_alpr,1,0,0,0.6443154811859131,0.9282476153033371,32.199200009927154,TP
Distancia corta,ZUI-1189.png,dataset_alpr,1,0,0,0.6599591374397278,0.9355944977443956,32.15059998910874,TP
Distancia corta,NES-8664.png,dataset_alpr,1,0,0,0.7240164279937744,0.9149730583953761,33.04700006265193,TP
Distancia corta,PQN-6317.png,dataset_alpr,1,0,0,0.7590169906616211,0.8992090664165872,32.15670003555715,TP
Distancia corta,DBU-9637.png,dataset_alpr,1,0,0,0.7591931819915771,0.9101947270520416,32.29150001425296,TP
Distancia corta,STB-8456.png,dataset_alpr,1,0,0,0.6690346598625183,0.9130689332220359,32.0824000518769,TP
Distancia corta,QBM-7034.png,dataset_alpr,1,0,0,0.729473888874054,0.9102302406140359,32.05339994747192,TP
Distancia corta,EHJ-2667.png,dataset_alpr,1,0,0,0.7327955961227417,0.9190844842855589,32.688100007362664,TP
Distancia corta,MZV-3941.png,dataset_alpr,1,0,0,0.6679167151451111,0.9091442545139924,31.957400031387806,TP
Distancia corta,JRF-5110.png,dataset_alpr,1,0,0,0.6774682998657227,0.9255202492001078,32.1494999807328,TP
Distancia corta,OGI-9538.png,dataset_publico_placas,1,0,0,0.6686060428619385,0.974588986523282,32.12450002320111,TP
Distancia corta,EJN 7525.png,dataset_alpr,1,0,0,0.687909722328186,0.8946510392832724,32.176900072954595,TP
Distancia corta,YFQ-2463.png,dataset_alpr,1,0,0,0.7014626860618591,0.9279155520754546,32.32850006315857,TP
Distancia corta,FNT-7484.png,dataset_alpr,1,0,0,0.6495975852012634,0.9208075152886743,33.49800000432879,TP
Distancia corta,HWA-8601.png,dataset_alpr,1,0,0,0.7320785522460938,0.9121295425962264,32.544200075790286,TP
Distancia corta,RFE-5357.png,dataset_alpr,1,0,0,0.5562286376953125,0.9194379238827654,32.97649999149144,TP
Distancia corta,FOH-9524.png,dataset_alpr,1,0,0,0.7754047513008118,0.9043234333149797,32.27079997304827,TP
Distancia corta,CVB-0921.png,dataset_alpr,1,0,0,0.6379313468933105,0.9190468673216283,32.10329997818917,TP
Distancia corta,TWL-9327.png,dataset_alpr,1,0,0,0.693047285079956,0.9214075399841474,31.97749995160848,TP
Distancia corta,UXX-6326.png,dataset_alpr,1,0,0,0.7489758729934692,0.9067875874446877,32.47820003889501,TP
Distancia corta,LIO-9060.png,dataset_alpr,1,0,0,0.7539083957672119,0.9130261878215072,32.1728999260813,TP
Distancia corta,PXO-2503.png,dataset_alpr,1,0,0,0.7358949184417725,0.9175769977880193,32.14680007658899,TP
Distancia corta,SFX-3012.png,dataset_alpr,1,0,0,0.6731037497520447,0.9175036398846063,33.779799938201904,TP
Distancia corta,MRF 8113.png,dataset_alpr,1,0,0,0.7369378805160522,0.9010005205076704,32.163299969397485,TP
Distancia corta,PAF-9184.png,dataset_alpr,1,0,0,0.7447807192802429,0.9184730576298064,32.09750005044043,TP
Distancia media,MTZ-7013.png,dataset_alpr,1,0,0,0.5828479528427124,0.9264218637545278,31.98660002090037,TP
Distancia media,NTY-8797.png,dataset_alpr,1,0,0,0.7416167259216309,0.9041477054371709,32.148599973879755,TP
Distancia media,BqwpWEAMPt804157580.jpg,dataset_publico_placas,1,0,0,0.2197318822145462,0.6738886347315848,64.2831000732258,TP
Distancia media,MEZ-9114.png,dataset_alpr,1,0,0,0.6907486915588379,0.929152126399007,34.072999958880246,TP
Distancia media,EFC-8874.png,dataset_alpr,1,0,0,0.6761094927787781,0.9091240578926966,32.15580002870411,TP
Distancia media,KMY-2214.png,dataset_alpr,1,0,0,0.7247440218925476,0.9027723845749935,32.27179998066276,TP
Distancia media,BFC-5225.png,dataset_alpr,1,0,0,0.6491310596466064,0.9194147538142762,32.03530004248023,TP
Distancia media,GPC-2159.png,dataset_alpr,1,0,0,0.5933277010917664,0.929727087216813,32.38039999268949,TP
Distancia media,MGU-3219.png,dataset_alpr,1,0,0,0.6533477902412415,0.9330700114337487,32.484699971973896,TP
Distancia media,SGZ-5403.png,dataset_alpr,1,0,0,0.5782768130302429,0.9200836720595552,32.243499998003244,TP
Distancia media,AXY-3153.png,dataset_alpr,1,0,0,0.6639094948768616,0.9049596843453399,32.176599954254925,TP
Distancia media,NPR-0837.png,dataset_alpr,1,0,0,0.7334061861038208,0.9087593423144538,32.013899995945394,TP
Distancia media,QRE-6728.png,dataset_alpr,1,0,0,0.6452022194862366,0.9167942379046531,32.275699893943965,TP
Distancia media,TWF-7553.png,dataset_alpr,1,0,0,0.6400727033615112,0.9226806279987114,32.18189999461174,TP
Distancia media,YDS-4386.png,dataset_alpr,1,0,0,0.6319453120231628,0.9224638634379921,32.16239996254444,TP
Distancia media,ZUZ-3642.png,dataset_alpr,1,0,0,0.6481277942657471,0.9258636901883678,32.20719995442778,TP
Distancia media,VQX-8875.png,dataset_alpr,1,0,0,0.7660194039344788,0.9055350917667582,32.145600067451596,TP
Distancia media,ILK-8669.png,dataset_alpr,1,0,0,0.7285596132278442,0.9223183283667249,32.204900053329766,TP
Distancia media,AER-9355.png,dataset_alpr,1,0,0,0.7241916060447693,0.9097547173216276,32.17440005391836,TP
Distancia media,NSH-4595.png,dataset_alpr,1,0,0,0.6754878163337708,0.900927121084485,32.46850008144975,TP
Distancia media,YMM-0753.png,dataset_alpr,1,0,0,0.691737711429596,0.9091517356406328,32.05280005931854,TP
Distancia media,CQK-2995.png,dataset_alpr,1,0,0,0.7343771457672119,0.920390697189159,32.11559995543212,TP
Distancia media,TLZ-1519.png,dataset_alpr,1,0,0,0.6357623338699341,0.92989994481255,32.81310002785176,TP
Distancia media,FAV-3582.png,dataset_alpr,1,0,0,0.6913274526596069,0.9018878582721415,32.11619996000081,TP
Distancia media,PXT-0662.png,dataset_alpr,1,0,0,0.6334781050682068,0.9189939516262163,35.562100005336106,TP
Distancia media,GPF-7509.png,dataset_alpr,1,0,0,0.6317971348762512,0.9226251962938334,32.27800002787262,TP
Distancia media,EUK-0352.png,dataset_alpr,1,0,0,0.7554535865783691,0.895517828018417,32.055600080639124,TP
Distancia media,HFB-6107.png,dataset_alpr,1,0,0,0.6859962940216064,0.9179931382153006,32.200400019064546,TP
